institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2018 Endowment,School Website
Columbia College,regional-universities-south,,SC,Columbia,29203,south,True,private,#54,54,True,15,84,96,19890,3.6,,,1165,,825,20921.0,825-1075,15-19,"Private, Women's college",1854,United Methodist,Semester,Urban,$19.0 million,https://www.columbiasc.edu
Columbia College,regional-universities-midwest,,MO,Columbia,65216,midwest,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,"Private, Coed",1851,None,Semester,Suburban,N/A,http://www.ccis.edu
Columbia College Chicago,regional-universities-midwest,,IL,Chicago,60605,midwest,True,private,#105,105,True,20,,87,27756,3.3,,,6568,,1000,,1000-1230,20-27,"Private, Coed",1890,None,Semester,Urban,$196.9 million +,//www.colum.edu
Columbia College Hollywood,specialty-arts,,CA,Tarzana,,,True,private,Unranked,-2,False,,,50,24495,,,,912,,,,N/A,N/A,"Private, Coed",1953,None,Quarter,Urban,N/A,https://flashpoint.columbiacollege.edu/
Columbia College of Nursing,health,,WI,Milwaukee,53211,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.ccon.edu/
Columbia International University,regional-universities-south,,SC,Columbia,29203,south,True,private,#38,38,True,17,83,33,23940,3.4,,,591,,940,19967.0,940-1120,17-23,Private,1923,Multiple Protestant Denomination,N/A,N/A,N/A,//www.ciu.edu
Columbia University,national-universities,,NY,New York,10027,,True,private,#3,3,True,33,50,6,61850,,3.9,,6202,,1450,21195.0,1450-1560,33-35,"Private, Coed",1754,None,Semester,Urban,$10.9 billion,http://www.columbia.edu
Columbus College of Art and Design,specialty-arts,,OH,Columbus,43215,,True,private,Unranked,-2,False,19,,88,36750,,,,1032,,1010,,1010-1270,19-25,Private,1879,None,Semester,N/A,N/A,http://www.ccad.edu
Columbus State University,regional-universities-south,,GA,Columbus,31907,south,True,public,#75,75,True,18,,56,21152,3.1,,,6640,2.1,870,,870-1100,18-23,"Public, Coed",1958,None,Semester,City,$68.3 million,http://www.columbusstate.edu
Community College of Denver,regional-colleges-west,,CO,Denver,80204,west,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,N/A,None,N/A,N/A,N/A,//www.ccd.edu
Conception Seminary College,faith,,MO,Conception,64433,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,//www.conception.edu
Concordia College,regional-colleges-south,,AL,Selma,36701,south,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,"Private, Coed",1922,None,Semester,N/A,N/A,http://www.ccal.edu/
Concordia College--Moorhead,national-liberal-arts-colleges,Concordia College Moorhead Concordia College Moorhead,MN,Moorhead,56562,,True,private,#132,132,True,21,,61,41566,3.5,,,2097,,1080,,1080-1368,21-27,"Private, Coed",1891,Evangelical Lutheran Church,Semester,Suburban,$129.0 million,http://www.concordiacollege.edu
Concordia College--New York,regional-universities-north,,NY,Bronxville,10708,north,True,private,#129-#170,-1,False,20,,81,34600,,,,1226,,950,,950-1118,20-25,"Private, Coed",1881,Lutheran Church - Missouri Synod,Semester,Suburban,$12.7 million,http://www.concordia-ny.edu
Concordia University,regional-universities-west,,CA,Irvine,92612,west,True,private,#34,34,True,20,59,62,36740,3.5,,,1808,,1030,30813.0,1030-1220,20-27,"Private, Coed",1972,Lutheran Church - Missouri Synod,Semester,Suburban,$22.9 million,http://www.cui.edu
Concordia University,regional-universities-midwest,,NE,Seward,68434,midwest,True,private,#33,33,True,20,78,68,33490,3.6,,,1836,,890,23224.0,890-1100,20-26,"Private, Coed",1894,Lutheran Church - Missouri Synod,Semester,Rural,$51.9 million +,http://www.cune.edu
Concordia University,unranked,,,"Montreal, Quebec",,,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,N/A,None,N/A,N/A,N/A,//www.concordia.ca/
Concordia University,special-focus,,OR,Portland,97211,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,"Private, Coed",1905,None,Semester,N/A,N/A,http://www.cu-portland.edu
Concordia University Chicago,regional-universities-midwest,,IL,River Forest,60305,midwest,True,private,#72,72,True,20,83,76,32880,3,,,1477,,990,23804.0,990-1170,20-25,"Private, Coed",1864,Lutheran Church - Missouri Synod,Semester,Suburban,$23.7 million,http://www.cuchicago.edu/
Concordia University--St. Paul,regional-universities-midwest,Concordia University St Paul Concordia University Saint Paul Concordia University St. Paul,MN,St. Paul,55104,midwest,True,private,#76,76,True,18,70,97,22800,3.2,,,3094,,850,24636.0,850-1030,18-24,"Private, Coed",1893,Lutheran Church - Missouri Synod,Semester,Urban,$32.7 million +,http://www.csp.edu
Concordia University Texas,regional-universities-west,,TX,Austin,78726,west,True,private,#87-#113,-1,False,19,,89,,,,,,,960,,960-1140,19-24,"Private, Coed",1926,None,Semester,Suburban,N/A,http://www.concordia.edu
Concordia University Wisconsin,national-universities,,WI,Mequon,53097,,True,private,#281,281,True,20,,65,30352,3.4,,,3493,,,,N/A,20-26,"Private, Coed",1881,Lutheran Church - Missouri Synod,4-1-4,Suburban,$76.4 million,http://www.cuw.edu
Concord University,regional-universities-south,,WV,Athens,24712,south,True,public,#96-#122,-1,False,18,,89,18037,3.4,,,1729,,920,,920-1120,18-23,"Public, Coed",1872,None,Semester,Rural,$25.3 million +,http://www.concord.edu
Connecticut College,national-liberal-arts-colleges,,CT,New London,06320,,True,private,#46,46,True,30,55,38,56870,,,,1844,,1290,30049.0,1290-1430,30-32,"Private, Coed",1911,None,Semester,City,$315.2 million,http://www.conncoll.edu
Converse College,regional-universities-south,,SC,Spartanburg,29302,south,True,private,#22,22,False,20,77,59,19240,,,,893,,1040,21619.0,1040-1200,20-25,"Private, Women's college",1889,None,4-1-4,City,$81.2 million,http://www.converse.edu
Cooper Union,regional-colleges-north,,NY,New York,10003,north,True,private,#1,1,False,31,54,16,46700,3.8,3.8,,858,,1283,22143.0,1283-1510,31-34,"Private, Coed",1859,None,Semester,City,$826.3 million +,http://cooper.edu
Coppin State University,regional-universities-north,,MD,Baltimore,21216,north,True,public,#129-#170,-1,False,16,,38,13113,,,,2362,,880,,880-1030,16-20,"Public, Coed",1900,None,Semester,Urban,$10.7 million,http://www.coppin.edu
Corban University,regional-colleges-west,,OR,Salem,97301,west,True,private,#7,7,True,21,78,33,33378,,,,,,1040,26362.0,1040-1230,21-26,"Private, Coed",1935,Evangelical Christian,Semester,Suburban,N/A,http://www.corban.edu
Cornell College,national-liberal-arts-colleges,,IA,Mount Vernon,52314,,True,private,#68,68,True,23,69,61,43976,3.5,,,1026,,1080,28100.0,1080-1320,23-30,"Private, Coed",1853,United Methodist,8 terms,Rural,$77.7 million +,http://www.cornellcollege.edu
Cornell University,national-universities,,NY,Ithaca,14853,,True,private,#17,17,True,32,46,11,57222,,4.3,,15182,4.2,1390,30576.0,1390-1540,32-34,"Private, Coed",1865,None,Semester,Rural,$6.9 billion,http://www.cornell.edu
Cornerstone University,regional-universities-midwest,,MI,Grand Rapids,49525,midwest,True,private,#78,78,True,19,,73,25360,3.6,,,1550,,950,,950-1180,19-26,"Private, Coed",1941,Interdenominational,Semester,Suburban,$10.6 million,http://www.cornerstone.edu
Cornish College of the Arts,specialty-arts,,WA,Seattle,98121,,True,private,Unranked,-2,False,,,77,33360,,,,623,,,,N/A,N/A,"Private, Coed",1914,None,Semester,Urban,$9.1 million +,//www.cornish.edu
Cottey College,regional-colleges-midwest,,MO,Nevada,64772,midwest,True,private,#2,2,False,19,76,97,21750,3.3,,,277,,1000,14631.0,1000-1130,19-25,"Private, Women's college",1884,None,Semester,Rural,$111.3 million,//www.cottey.edu
Covenant College,national-liberal-arts-colleges,,GA,Lookout Mountain,30750,,True,private,#148,148,True,23,,97,35640,3.7,,,1002,,1120,,1120-1350,23-30,"Private, Coed",1955,The Presbyterian Church in America,Semester,Suburban,$42.0 million +,http://www.covenant.edu
Cox College,health,,MO,Springfield,65802,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,1907,None,N/A,N/A,N/A,//www.coxcollege.edu
Creighton University,national-universities,,NE,Omaha,68178,,True,private,#104,104,True,24,50,71,41400,3.7,,,4446,3.1,1150,32523.0,1150-1350,24-30,"Private, Coed",1878,Roman Catholic,Semester,Urban,$568.8 million +,http://www.creighton.edu
Criswell College,faith,,TX,Dallas,75246,,True,private,Unranked,-2,False,17,,100,14170,3.6,,,179,,888,,888-1083,17-21,"Private, Coed",1970,Southern Baptist,Semester,Urban,N/A,//www.criswell.edu
Crowley's Ridge College,regional-colleges-south,,AR,Paragould,72450,south,True,private,#65-#84,-1,False,,,,,,,,,,,,N/A,N/A,Private,N/A,None,N/A,N/A,N/A,
Crown College,regional-universities-midwest,,MN,St. Bonifacius,55375,midwest,True,private,#117-#153,-1,False,18,,51,26200,,,,,,830,,830-1105,18-25,"Private, Coed",1916, Christ and Missionary Alliance Church,Semester,Rural,$8.8 million,http://www.crown.edu
Culinary Institute of America,special-focus,CIA,NY,Hyde Park,12538,,True,private,Unranked,-2,False,20,,98,33690,3.2,,,2956,,1020,,1020-1220,20-25,"Private, Coed",1946,None,Semester,Suburban,$136.3 million,//www.ciachef.edu
Culver-Stockton College,regional-colleges-midwest,Culver Stockton College,MO,Canton,63435,midwest,True,private,#33,33,True,18,83,46,27205,3.3,,,1022,,950,22389.0,950-1140,18-23,"Private, Coed",1853, Christian Church (Disciples of Christ),Semester,Rural,$28.6 million,http://www.culver.edu
Cumberland University,regional-universities-south,,TN,Lebanon,37087,south,True,private,#84,84,True,19,,62,22890,3.3,,,2093,,930,,930-1090,19-23,"Private, Coed",1842,None,Semester,Suburban,$12.0 million,http://www.cumberland.edu
CUNY--Baruch College,regional-universities-north,CUNY Baruch College CUNY Baruch College,NY,New York,10010,north,True,public,#16,16,True,,1,39,18971,3.3,,,15024,3.2,1220,32808.0,1220-1390,N/A,"Public, Coed",1919,None,Semester,Urban,$188.3 million,http://www.baruch.cuny.edu
CUNY--Brooklyn College,regional-universities-north,CUNY Brooklyn College CUNY Brooklyn College,NY,Brooklyn,11210,north,True,public,#59,59,True,,,44,18510,3.3,,,14978,,1040,,1040-1220,N/A,"Public, Coed",1930,None,Semester,Urban,$90.5 million,http://www.brooklyn.cuny.edu
CUNY--City College,national-universities,CUNY City College CUNY City College,NY,New York,10031,,True,public,#228,228,True,,,38,18475,3.3,2.6,,13666,,950,,950-1190,N/A,"Public, Coed",1847,None,Semester,Urban,$309.1 million +,//admissions@ccny.cuny.edu
CUNY--College of Staten Island,regional-universities-north,CUNY College of Staten Island CUNY College of Staten Island,NY,Staten Island,10314,north,True,public,#129-#170,-1,False,,,100,19150,3,2.4,,12211,,990,,990-1170,N/A,"Public, Coed",1976,None,Semester,Urban,$9.3 million,http://www.csi.cuny.edu
CUNY--Graduate Center,national-universities,,NY,New York,10016,,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,N/A,None,N/A,N/A,N/A,
CUNY--Hunter College,regional-universities-north,CUNY Hunter College CUNY Hunter College,NY,New York,10021,north,True,public,#23,23,True,,1,36,18450,3.5,,,16249,,1090,32179.0,1090-1260,N/A,"Public, Coed",1870,None,Semester,Urban,$127.3 million,http://www.hunter.cuny.edu
CUNY--John Jay College of Criminal Justice,regional-universities-north,CUNY John Jay College of Criminal Justice CUNY John Jay College of Criminal Justice,NY,New York,10019,north,True,public,#100,100,True,,,41,18270,3,,,13319,,920,,920-1060,N/A,"Public, Coed",1965,None,Semester,Urban,$10.0 million +,http://www.jjay.cuny.edu/
CUNY--Lehman College,regional-universities-north,CUNY Lehman College CUNY Lehman College,NY,Bronx,10468,north,True,public,#100,100,True,,,40,18480,,,,12639,,920,,920-1040,N/A,"Public, Coed",1968,None,Semester,Urban,$8.2 million,http://www.lehman.cuny.edu
CUNY--Medgar Evers College,regional-colleges-north,CUNY Medgar Evers College CUNY Medgar Evers College,NY,Brooklyn,11225,north,True,public,#36-#46,-1,False,,,99,18200,2.2,,,6638,,740,,740-920,N/A,"Public, Coed",1970,None,Semester,Urban,"$499,521",https://ares.mec.cuny.edu/admissions/admissions/
CUNY--New York City College of Technology,regional-colleges-north,CUNY New York City College of Technology CUNY New York City College of Technology,NY,Brooklyn,11201,north,True,public,#35,35,False,,,75,14790,,,,17269,,,,N/A,N/A,"Public, Coed",1946,None,Semester,Urban,$16.5 million +,http://www.citytech.cuny.edu
CUNY--Queens College,regional-universities-north,CUNY Queens College CUNY Queens College,NY,Queens,11367,north,True,public,#52,52,True,,13,48,18608,,,,16620,,1060,34080.0,1060-1220,N/A,"Public, Coed",1937,None,Semester,Urban,N/A,http://www.qc.cuny.edu/
CUNY--York College,regional-colleges-north,CUNY York College CUNY York College,NY,Jamaica,11451,north,True,public,#36-#46,-1,False,,,53,18427,,,,8495,,880,,880-1040,N/A,"Public, Coed",1966,None,Semester,City,$1.9 million,http://www.york.cuny.edu
Curry College,regional-universities-north,,MA,Milton,02186,north,True,private,#129-#170,-1,False,17,,93,40870,3,,,2356,,940,,940-1110,17-22,"Private, Coed",1879,None,Semester,Suburban,$100.2 million,http://www.curry.edu
Curtis Institute of Music,specialty-arts,,PA,Philadelphia,19103,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Private,1924,None,N/A,N/A,N/A,//www.curtis.edu
Cypress College,regional-colleges-west,,CA,Cypress,90630,west,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,N/A,None,N/A,N/A,N/A,//www.cypresscollege.edu
Daemen College,national-universities,,NY,Amherst,14226,,True,private,#263,263,True,21,,54,29430,3.3,,,1739,,1040,,1040-1230,21-26,"Private, Coed",1947,None,Semester,Suburban,$16.1 million +,https://www.daemen.edu/
Dakota State University,regional-universities-midwest,,SD,Madison,57042,midwest,True,public,#84,84,True,20,,83,12606,3.2,,,2993,,960,,960-1220,20-26,"Public, Coed",1881,None,Semester,Rural,$15.2 million +,http://www.dsu.edu
Dakota Wesleyan University,regional-colleges-midwest,,SD,Mitchell,57301,midwest,True,private,#26,26,True,19,81,74,28750,3.3,,,799,,900,23428.0,900-1060,19-24,"Private, Coed",1885,United Methodist,Differs by program,Rural,$31.3 million +,http://www.dwu.edu
Dalhousie University,unranked,,,"Halifax, Nova Scotia",,,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,N/A,None,N/A,N/A,N/A,//www.dal.ca/
Dallas Baptist University,national-universities,,TX,Dallas,75211,,True,private,#281,281,True,20,,88,30320,3.5,,,3014,,1090,,1090-1270,20-24,"Private, Coed",1898, Baptist,4-1-4,Suburban,$51.4 million +,//www.dbu.edu
Dalton State College,regional-colleges-south,,GA,Dalton,30720,south,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,N/A,None,N/A,N/A,N/A,//www.daltonstate.edu/
Dartmouth College,national-universities,,NH,Hanover,03755,,True,private,#12,12,True,31,49,9,57204,,3.2,,4417,,1420,23421.0,1420-1560,31-35,"Private, Coed",1769,None,Quarter,Rural,$5.5 billion,http://www.dartmouth.edu
Davenport University,regional-universities-midwest,,MI,Grand Rapids,49512,midwest,True,private,#111,111,True,19,,89,18414,3.2,,,5166,,970,,970-1160,19-24,"Private, Coed",1866,None,Semester,Suburban,N/A,http://www.davenport.edu
Davidson College,national-liberal-arts-colleges,,NC,Davidson,28035,,True,private,#17,17,True,29,50,19,53049,3.9,,,1843,,1290,23152.0,1290-1450,29-33,"Private, Coed",1837,Presbyterian Church (USA),Semester,Suburban,$814.5 million +,https://davidson.edu
Davis and Elkins College,regional-colleges-south,Davis & Elkins,WV,Elkins,26241,south,True,private,#41,41,True,17,,42,,,,,,,900,,900-1100,17-22,Private,N/A,None,N/A,N/A,N/A,http://www.davisandelkins.edu
Davis College,faith,,NY,Bible School Park,13737,,True,private,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,"Private, Coed",1900,Undenominational,Semester,City,N/A,//www.davisny.edu
Daytona State College,regional-colleges-south,,FL,Daytona Beach,32114,south,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,1957,None,N/A,N/A,N/A,//www.daytonastate.edu
Dean College,regional-colleges-north,,MA,Franklin,02038,north,True,private,#25,25,True,18,,64,40414,2.8,,,1323,,910,,910-1110,18-22,"Private, Coed",1865,None,Semester,Suburban,$45.3 million,http://www.dean.edu
Defiance College,regional-colleges-midwest,,OH,Defiance,43512,midwest,True,private,#46,46,True,17,,52,33260,3,,,525,,855,,855-1070,17-23,"Private, Coed",1850,United Church of Christ,Semester,Rural,$16.2 million,http://www.defiance.edu
Delaware State University,national-universities,,DE,Dover,19901,,True,public,#293-#381,-1,False,17,,49,18124,3.2,,,4208,2.2,840,,840-1010,17-22,"Public, Coed",1891,None,Semester,Suburban,$30.9 million,http://www.desu.edu
Delaware Technical Community College--Terry,regional-colleges-north,,DE,Dover,19901,north,True,public,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Public,N/A,None,N/A,N/A,N/A,https://www.dtcc.edu/our-campuses/dover
Delaware Valley University,regional-universities-north,,PA,Doylestown,18901,north,True,private,#119,119,True,19,,66,40620,3.3,,,1982,,970,,970-1160,19-27,"Private, Coed",1896,None,Semester,Suburban,$33.6 million,http://www.delval.edu
Delta State University,regional-universities-south,,MS,Cleveland,38733,south,True,public,#79,79,True,18,,85,7671,3.4,,,3075,,950,,950-1190,18-24,"Public, Coed",1924,None,Semester,Rural,$32.9 million,//deltastate.edu
Denison University,national-liberal-arts-colleges,,OH,Granville,43023,,True,private,#43,43,True,28,52,34,53830,,,,2285,,1210,19646.0,1210-1380,28-31,"Private, Coed",1831,None,Semester,Suburban,$850.4 million +,http://www.denison.edu
Denver College of Nursing,health,,CO,Denver,,,True,proprietary,Unranked,-2,False,,,,,,,,,,,,N/A,N/A,Proprietary,N/A,None,N/A,N/A,N/A,
DePaul University,national-universities,,IL,Chicago,60604,,True,private,#125,125,True,23,68,68,41202,3.7,,,14507,3.1,1080,36205.0,1080-1290,23-29,"Private, Coed",1898,Roman Catholic,Quarter,Urban,$593.4 million +,http://www.depaul.edu
DePauw University,national-liberal-arts-colleges,,IN,Greencastle,46135,,True,private,#46,46,True,23,58,63,51146,3.8,,,2156,,1120,25874.0,1120-1340,23-29,"Private, Coed",1837,None,4-1-4,Rural,$730.8 million +,http://www.depauw.edu
DEREE--The American College of Greece,unranked,DEREE The American College of Greece,,Athens,,,True,private,Unranked,-2,False,,,83,,,,,3317,,,,N/A,N/A,"Private, Coed",1875,None,Semester,Suburban,N/A,http://www.acg.edu
DeSales University,regional-universities-north,,PA,Center Valley,18034,north,True,private,#59,59,True,22,73,79,38700,3.3,,,2499,,1010,33127.0,1010-1230,22-28,"Private, Coed",1964,Roman Catholic,Semester,Suburban,$87.8 million +,http://www.desales.edu
Design Institute of San Diego,specialty-arts,,CA,San Diego,,,True,proprietary,Unranked,-2,False,,,57,23999,3.2,,,98,,,,N/A,N/A,"Proprietary, Coed",1977,None,Semester,Urban,N/A,//www.disd.edu
DeVry University,regional-universities-midwest,DeVry University Chicago,IL,Downers Grove,60515,midwest,True,proprietary,#117-#153,-1,False,,,95,,,,,,,,,N/A,N/A,"Proprietary, Coed",1931,None,Semester,N/A,N/A,http://www.devry.edu
Dickinson College,national-liberal-arts-colleges,,PA,Carlisle,17013,,True,private,#46,46,True,27,60,49,56498,,,,2399,,1200,29543.0,1200-1390,27-31,"Private, Coed",1783,None,Semester,Suburban,$437.5 million +,http://www.dickinson.edu
Dickinson State University,regional-colleges-midwest,,ND,Dickinson,58601,midwest,True,public,#48,48,False,18,,66,11150,3.2,,,1375,,860,,860-913,18-23,"Public, Coed",1918,None,Semester,City,$7.9 million +,http://www.dickinsonstate.edu/
Dillard University,national-liberal-arts-colleges,,LA,New Orleans,70122,,True,private,#164-#215,-1,False,18,,41,,,,,,,810,,810-1030,18-21,"Private, Coed",1869,United Methodist,Semester,Urban,N/A,http://www.dillard.edu
